id,organization_id,customer_id,custom_customer,organization_user_id,bill_number,is_delivered,is_proforma,placed_at,created,modified
4baa85d5-fc0e-4c95-95b6-6820c63ef7fa,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,0e9d554a-b0fb-46d6-ad31-68659e0213ba,,6f2d0771-90ed-4af5-87d8-e7963beb1418,1763306299,False,False,2025-11-16T15:18:19.165539+00:00,2025-11-16T15:18:19.165305+00:00,2025-11-16T15:18:19.165305+00:00
c097cbf7-d8b0-4a20-9a61-c56338ad63ad,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,50ab1c80-7e56-4daa-96c1-614e64f49ad2,,6f2d0771-90ed-4af5-87d8-e7963beb1418,1763305709,False,False,2025-11-16T15:08:29.268517+00:00,2025-11-16T15:08:29.266847+00:00,2025-11-16T15:08:29.266847+00:00
5d1cae7c-0901-4a3c-8323-92ece2e54555,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,50ab1c80-7e56-4daa-96c1-614e64f49ad2,,67850cba-d479-4f5d-9b33-95cd09918574,1763306442,False,False,2025-11-16T15:20:42.879165+00:00,2025-11-16T15:20:42.878920+00:00,2025-11-16T15:20:42.878920+00:00
8437e7cb-5ae7-4545-bfae-5ea1c62f1122,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,0e9d554a-b0fb-46d6-ad31-68659e0213ba,,6f2d0771-90ed-4af5-87d8-e7963beb1418,1763306896,False,False,2025-11-16T15:28:16.270854+00:00,2025-11-16T15:28:16.270611+00:00,2025-11-16T15:28:16.270611+00:00
d8c8b6c1-2b9f-4206-8630-c907a2fd8c19,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,0e9d554a-b0fb-46d6-ad31-68659e0213ba,,6f2d0771-90ed-4af5-87d8-e7963beb1418,1763307166,False,False,2025-11-16T15:32:46.424903+00:00,2025-11-16T15:32:46.424678+00:00,2025-11-16T15:32:46.424678+00:00
8f2f22d9-425f-4c06-9b33-961657866508,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,6630448c-63ff-415d-8e09-57dc71398b17,,6f2d0771-90ed-4af5-87d8-e7963beb1418,1763308941,False,False,2025-11-16T16:02:21.928480+00:00,2025-11-16T16:02:21.926868+00:00,2025-11-16T16:02:21.926868+00:00
cab6fba1-f583-4e24-a652-b1adf86851c0,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,0e9d554a-b0fb-46d6-ad31-68659e0213ba,,6f2d0771-90ed-4af5-87d8-e7963beb1418,1763309482,False,False,2025-11-16T16:11:22.697221+00:00,2025-11-16T16:11:22.696947+00:00,2025-11-16T16:11:22.696947+00:00
06d9c8a5-a830-4559-ae41-75131c62e9da,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,0e9d554a-b0fb-46d6-ad31-68659e0213ba,,6f2d0771-90ed-4af5-87d8-e7963beb1418,1763310585,False,False,2025-11-16T16:29:45.412393+00:00,2025-11-16T16:29:45.412146+00:00,2025-11-16T16:29:45.412146+00:00
bd298c42-1001-449b-9344-3352027a0f1b,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,943b8bdf-4384-47bd-b32a-8cf54b967ab9,,67850cba-d479-4f5d-9b33-95cd09918574,1763323771,False,False,2025-11-16T20:09:31.598622+00:00,2025-11-16T20:09:31.598396+00:00,2025-11-16T20:09:31.598396+00:00
16823fc4-20b7-4a9d-9a82-39619ca59b66,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,0d1f1ef2-d16b-47ce-875d-8951dbe191db,,67850cba-d479-4f5d-9b33-95cd09918574,1763324321,False,False,2025-11-16T20:18:41.585705+00:00,2025-11-16T20:18:41.585473+00:00,2025-11-16T20:18:41.585473+00:00
