id,organization_id,facturation_id,batch_id,quantity,unit_price,organization_user_id,is_delivered,created,modified
16cb0c13-bdaa-4dda-bd27-a133952a07a7,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,09d0ae4d-cf14-492c-b238-659f0cff14d0,0407853a-fcc1-43a3-b842-02fd5facc2f1,100,420.000000,7b29b44a-1322-4535-8f0f-8817977e1287,False,2025-12-09T09:46:50.707747+00:00,2025-12-09T09:46:50.707747+00:00
a2cf29e7-224c-49c2-8123-f9c5e92b629f,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,f3c9c64c-55a7-4f40-8c6b-c09c5c3383a7,843a257b-969b-4a7b-8a37-823e19be6f46,2,11000.000000,6f2d0771-90ed-4af5-87d8-e7963beb1418,False,2025-11-16T15:13:59.139647+00:00,2025-11-16T15:13:59.139647+00:00
ba2e4a8a-972e-48a5-86d4-739d0922c7b3,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,b71c9b36-17cd-4b86-9c13-e03f8c5eab8b,5e5673e5-77d4-43a3-b057-a1d98fbcbaf7,1027,5000.000000,67850cba-d479-4f5d-9b33-95cd09918574,False,2025-11-16T15:27:39.207288+00:00,2025-11-16T15:27:39.207288+00:00
115e1cfd-2b66-451b-b60e-df63b7c237e8,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,d8c8b6c1-2b9f-4206-8630-c907a2fd8c19,e67be392-f0d0-46fc-800c-9b66ecb8c37f,8,500.000000,6f2d0771-90ed-4af5-87d8-e7963beb1418,False,2025-11-16T15:32:46.427295+00:00,2025-11-16T15:32:46.427295+00:00
5cf11b6c-e7f8-4505-9fb2-79cf48958ba2,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,e3d1b05f-6588-49da-abe2-e6b25f7c6490,f8731823-84d3-439e-b755-ef7415855931,1,8000.000000,6f2d0771-90ed-4af5-87d8-e7963beb1418,False,2025-11-16T16:06:49.941846+00:00,2025-11-16T16:06:49.941846+00:00
6bec760a-8e65-4259-a9a7-86a9da9c54b5,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,2ce33de3-23d4-4035-8333-cb6b7704cb6d,a25a12fa-2520-4a14-83f5-b3f71b91d9df,1,4000.000000,6f2d0771-90ed-4af5-87d8-e7963beb1418,False,2025-11-16T16:14:54.132274+00:00,2025-11-16T16:14:54.132274+00:00
0d12349d-5e2b-4651-9bb9-6e9d15b7cba0,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,2b523393-c64c-458c-a139-67ca612159a0,e6c695b0-a600-4236-bb51-20bfb003ec07,1,48000.000000,6f2d0771-90ed-4af5-87d8-e7963beb1418,False,2025-12-02T06:58:02.317254+00:00,2025-12-02T06:58:02.317254+00:00
a228b788-70b0-4465-8e2d-6ca0b6a2f6b3,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,2b523393-c64c-458c-a139-67ca612159a0,d914218e-41a2-4285-8962-0b1de494484d,1,31800.000000,6f2d0771-90ed-4af5-87d8-e7963beb1418,False,2025-12-02T06:58:02.318456+00:00,2025-12-02T06:58:02.318456+00:00
e09fcc2b-dbe8-4080-8796-d7f5f65f764c,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,96fe41ef-2284-41d5-a0fd-51103288ad84,18a158e3-f9e2-4433-91c8-eea009faac2c,10,8000.000000,67850cba-d479-4f5d-9b33-95cd09918574,False,2025-11-16T19:44:45.499209+00:00,2025-11-16T19:44:45.499209+00:00
8e162424-f938-42bf-a682-998fda096535,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,af672f02-ebe3-46d8-a38d-11ca39fade2a,05f687fb-a042-4d8a-a679-af3bd1247908,8,2500.000000,67850cba-d479-4f5d-9b33-95cd09918574,False,2025-11-16T20:15:33.944647+00:00,2025-11-16T20:15:33.944647+00:00
