id,organization_id,item_id,batch_number,supplier_id,received_date,expiration_date,purchase_price,facturation_price,quantity,last_checked,last_maintainer_id,is_active,created,modified
86672e6f-7911-4427-ae3f-34d6915b076a,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,29cc7d01-1170-46c4-9852-a3fc54a8a25a,B354809,471b5c28-79c6-40a5-8263-e25cc93018b2,2025-11-13,2026-11-13,1000.0000,1300.0000,15,2025-11-13T05:03:16.812262+00:00,67850cba-d479-4f5d-9b33-95cd09918574,True,2025-11-13T05:03:16.812285+00:00,2025-11-13T05:03:16.812285+00:00
c44c956b-fc79-4004-8afd-ce5f725f44a7,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,0170cb40-29d9-4ac7-b20e-bc3926f8ad6a,B382085,471b5c28-79c6-40a5-8263-e25cc93018b2,2025-11-13,2026-11-13,1000.0000,1300.0000,31,2025-11-13T05:03:16.812360+00:00,67850cba-d479-4f5d-9b33-95cd09918574,True,2025-11-13T05:03:16.812370+00:00,2025-11-13T05:03:16.812370+00:00
4c297289-e27b-4e0b-aff8-1be4d90e709c,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,69cd69b2-ec86-4b65-8785-5def97a963f3,B485617,471b5c28-79c6-40a5-8263-e25cc93018b2,2025-11-13,2026-11-13,1000.0000,1300.0000,97,2025-11-13T05:03:16.812409+00:00,67850cba-d479-4f5d-9b33-95cd09918574,True,2025-11-13T05:03:16.812417+00:00,2025-11-13T05:03:16.812417+00:00
0eaee184-7889-43a7-8b6b-b0ae8adef59c,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,a6c91902-ef12-4560-a3d1-dc7ce4f6fa51,B810807,471b5c28-79c6-40a5-8263-e25cc93018b2,2025-11-13,2026-11-13,1000.0000,1300.0000,47,2025-11-13T05:03:16.812451+00:00,67850cba-d479-4f5d-9b33-95cd09918574,True,2025-11-13T05:03:16.812458+00:00,2025-11-13T05:03:16.812458+00:00
3dfb1549-0106-4c2a-a5f9-913538579cd2,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,5b64f0c8-bb33-4b53-892e-9466082d58db,B333375,471b5c28-79c6-40a5-8263-e25cc93018b2,2025-11-13,2026-11-13,1000.0000,1300.0000,94,2025-11-13T05:03:16.812491+00:00,67850cba-d479-4f5d-9b33-95cd09918574,True,2025-11-13T05:03:16.812497+00:00,2025-11-13T05:03:16.812497+00:00
2474835b-e222-4015-878d-bd608f729427,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,198c182d-5c1f-4ff8-90e6-061623d79d18,B686046,471b5c28-79c6-40a5-8263-e25cc93018b2,2025-11-13,2026-11-13,1000.0000,1300.0000,87,2025-11-13T05:03:16.812530+00:00,67850cba-d479-4f5d-9b33-95cd09918574,True,2025-11-13T05:03:16.812536+00:00,2025-11-13T05:03:16.812536+00:00
a27f1a37-1215-4b29-93a0-eb3da1ad51fc,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,d093051c-8946-4936-9a16-b79cd56a043a,B777258,471b5c28-79c6-40a5-8263-e25cc93018b2,2025-11-13,2026-11-13,1000.0000,1300.0000,68,2025-11-13T05:03:16.812573+00:00,67850cba-d479-4f5d-9b33-95cd09918574,True,2025-11-13T05:03:16.812579+00:00,2025-11-13T05:03:16.812579+00:00
f23a868b-b906-4ed8-addd-f4196cd283b8,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,f5494e95-cec9-40c8-907a-b5d7c38c9555,B607460,471b5c28-79c6-40a5-8263-e25cc93018b2,2025-11-13,2026-11-13,1000.0000,1300.0000,69,2025-11-13T05:03:16.812610+00:00,67850cba-d479-4f5d-9b33-95cd09918574,True,2025-11-13T05:03:16.812616+00:00,2025-11-13T05:03:16.812616+00:00
ebe144ab-f9ea-4fa4-9caa-d090070bdfe4,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,280ea3bb-3151-40a6-8c8d-47c71b94468c,B673991,471b5c28-79c6-40a5-8263-e25cc93018b2,2025-11-13,2026-11-13,1000.0000,1300.0000,59,2025-11-13T05:03:16.812645+00:00,67850cba-d479-4f5d-9b33-95cd09918574,True,2025-11-13T05:03:16.812651+00:00,2025-11-13T05:03:16.812651+00:00
822a0c3d-da74-459a-9cb4-2f24c0482a72,69393ba2-3fbd-4ca8-a2d8-2e75ff14093d,92326e4b-9362-4fe1-8255-326eb43029b2,B948322,471b5c28-79c6-40a5-8263-e25cc93018b2,2025-11-13,2026-11-13,1000.0000,1300.0000,85,2025-11-13T05:03:16.812680+00:00,67850cba-d479-4f5d-9b33-95cd09918574,True,2025-11-13T05:03:16.812686+00:00,2025-11-13T05:03:16.812686+00:00
